id;tech_id;remote_id;nom_commune;nom_province;nom_region;est_actif;cree_le;cree_par;modif_le;modif_par
1;EXE projection Fresh;35629;Direct;Profit-focused;Jewelery cutting-edg;false;2019-06-21T14:33:48;Borders;2019-06-21T04:42:44;magenta Concrete
2;User-centric Gloves;21876;Oklahoma facilitate;Engineer;Exclusive Moroccan D;false;2019-06-21T07:53:38;Computers Personal Loan Account Berkshire;2019-06-21T13:29:41;encompassing
3;deposit Canadian Dollar Lebanon;44778;Dominican Republic C;Ergonomic transmitte;Point Orchestrator;false;2019-06-21T01:52:18;Licensed hacking installation;2019-06-21T10:15:13;Refined Rubber Gloves Algerian Dinar Clothing
4;open-source turn-key;9617;Quality;synthesize Creative;Forint;true;2019-06-21T12:00:24;Global;2019-06-20T17:40:27;Enhanced deposit parsing
5;Borders content-based;99625;Agent;Human deposit;even-keeled Saint He;true;2019-06-20T17:11:59;AI optical invoice;2019-06-21T12:42:39;Cheese Dynamic Home Loan Account
6;transform;94013;Supervisor clear-thi;Latvia;Ports Manager Fish;false;2019-06-21T09:02:10;circuit navigate;2019-06-20T23:08:21;calculating withdrawal Nevada
7;Berkshire;63633;Ergonomic;Strategist target;Investor users dot-c;true;2019-06-21T00:53:04;Cambridgeshire white sensor;2019-06-21T07:59:30;Shoes deposit
8;Representative;46994;uniform PCI back up;Tactics architecture;Facilitator Incredib;false;2019-06-20T18:18:11;infrastructure;2019-06-21T10:39:44;Maryland Configuration
9;Intranet Ergonomic Concrete Soap Zambian Kwacha;35864;Open-architected;FTP;calculating Metal ar;true;2019-06-21T07:41:02;redundant;2019-06-20T19:17:15;HDD
10;Sleek Beauty Auto Loan Account;19427;Handcrafted Cotton B;incubate;interfaces;true;2019-06-21T13:52:03;Dale;2019-06-21T01:42:24;stable Utah Computers
