id;tech_id;remote_id;nom_pays;est_actif;cree_le;cree_par;modif_le;modif_par
1;mobile Fish;77969;Savings Account Dam;false;2019-06-21T13:20:10;FTP Savings Account;2019-06-20T21:44:11;Movies Producer
2;Implementation Electronics Officer;61748;Home Loan Account;false;2019-06-21T04:21:48;intangible;2019-06-21T00:02:45;Steel zero administration
3;Multi-channelled Licensed;61838;syndicate;true;2019-06-21T00:30:44;Refined Rubber Chicken Table;2019-06-21T13:10:08;Factors
4;South Dakota envisioneer Music;23089;Monitored Bahamian D;true;2019-06-21T13:54:17;Regional;2019-06-21T08:31:10;invoice
5;convergence;20794;Georgia Industrial;true;2019-06-20T20:07:37;Markets Chief;2019-06-21T00:22:50;National Awesome sky blue
6;Tactics;84453;compress South Georg;true;2019-06-21T06:10:05;mission-critical Faroe Islands Plastic;2019-06-20T19:28:39;Small
7;deliverables reinvent 24 hour;1407;magenta monitor 1080;true;2019-06-21T12:57:11;world-class Frozen IB;2019-06-20T23:46:16;archive Fantastic Plastic Chicken
8;payment;59129;tangible Mississippi;false;2019-06-21T11:51:35;bus synthesize Idaho;2019-06-20T20:13:37;Avon
9;system Small;43933;red;true;2019-06-20T23:27:23;knowledge base Buckinghamshire;2019-06-20T16:56:55;Phased
10;Saint Lucia white;94285;Money Market Account;true;2019-06-21T10:51:39;Web virtual deposit;2019-06-20T17:48:55;digital maroon
