id;tech_id;remote_id;quantite;quantite_min;quantite_max;date_modification
1;online withdrawal;9228;12102;59632;41894;2019-06-21T01:32:26
2;Senior optimize forecast;74985;94172;41267;66857;2019-06-20T23:13:28
3;withdrawal HDD Checking Account;50215;63609;13887;91328;2019-06-21T11:57:10
4;Pizza Fish;63787;12055;74098;90245;2019-06-21T02:00:39
5;connecting;99126;14213;82001;1170;2019-06-20T22:03:12
6;France Meadow;8439;57719;39936;4373;2019-06-20T16:53:15
7;multi-byte;21605;34316;46660;72917;2019-06-20T19:07:45
8;Refined Cotton Chicken navigating;40389;67296;7761;27538;2019-06-21T01:42:35
9;PNG;59028;44641;22627;79838;2019-06-21T05:30:32
10;Terrace Virginia index;9887;31886;88965;58219;2019-06-21T14:26:06
