id;tech_id;remote_id;est_actif;cree_le;cree_par;modif_le;modif_par
1;Polarised;13134;false;2019-06-21T05:09:30;Dynamic Ville Movies;2019-06-21T07:56:40;Gorgeous Steel Ball
2;Extended;90625;true;2019-06-21T08:44:29;explicit index Summit;2019-06-20T20:05:22;Rustic Granite Pizza
3;Ergonomic Rubber Salad;56199;false;2019-06-21T06:25:42;groupware navigate;2019-06-21T12:39:22;Ameliorated alarm Venezuela
4;Vermont;93682;false;2019-06-21T13:28:34;users modular sensor;2019-06-20T15:10:46;Customizable payment mint green
5;web-enabled utilisation;94703;true;2019-06-20T15:30:51;Computer Games;2019-06-20T21:27:01;ROI
6;quantifying;56122;true;2019-06-21T02:10:09;Concrete AI hard drive;2019-06-21T13:06:23;hard drive Namibia Intelligent
7;indexing initiatives;14095;true;2019-06-20T22:47:24;olive Practical AI;2019-06-21T03:41:12;generate actuating
8;Avon cross-platform Wall;5195;true;2019-06-20T19:51:36;pink Synergized;2019-06-21T10:46:39;pricing structure input
9;Electronics Fresh;65962;true;2019-06-21T10:51:06;Enterprise-wide Division Wyoming;2019-06-20T20:42:47;Alaska Bahamas Practical
10;Product Hong Kong;49781;true;2019-06-21T12:11:56;withdrawal navigating;2019-06-21T05:36:01;index
